underlying_question,phrasing_label,phrasing_text,rank,score,source_file,chunk_index,chunk_id,chunk_preview
Engine maintenance schedule / intervals,formal,What is the recommended maintenance schedule for the engine?,1,0.40012913942337036,ModelT-41-50-ocr.pdf,12,ModelT-41-50-ocr.pdf::chunk12,"iridie, fill the hub cap with grease and screw it in place on the hub. Hi ‘ten should the , Booties be labricuted? ' Answer No. 93 Every three or four months the wheels should be removed, the old grease taken out and the hubs and bearings thoroughly cleansed w..."
Engine maintenance schedule / intervals,formal,What is the recommended maintenance schedule for the engine?,2,0.40012913942337036,Ford-Model-T-Man-1919-ocr.pdf,236,Ford-Model-T-Man-1919-ocr.pdf::chunk236,"iridie, fill the hub cap with grease and screw it in place on the hub. Hi ‘ten should the , Booties be labricuted? ' Answer No. 93 Every three or four months the wheels should be removed, the old grease taken out and the hubs and bearings thoroughly cleansed w..."
Engine maintenance schedule / intervals,formal,What is the recommended maintenance schedule for the engine?,3,0.389989972114563,ModelT-01-10-ocr.pdf,49,ModelT-01-10-ocr.pdf::chunk49,ll the running speeds needed! for drdinery. Ce ee eee ee ee tine ce wae erties Daye eae File the cutk he Denali the: ‘ ng one   [Page 8] oo * - sit + advieable for owners to. ; inst aatisfactory service in the end. Never start out with your car until you aré- ...
Engine maintenance schedule / intervals,formal,What is the recommended maintenance schedule for the engine?,4,0.389989972114563,Ford-Model-T-Man-1919-ocr.pdf,49,Ford-Model-T-Man-1919-ocr.pdf::chunk49,ll the running speeds needed! for drdinery. Ce ee eee ee ee tine ce wae erties Daye eae File the cutk he Denali the: ‘ ng one   [Page 8] oo * - sit + advieable for owners to. ; inst aatisfactory service in the end. Never start out with your car until you aré- ...
Engine maintenance schedule / intervals,formal,What is the recommended maintenance schedule for the engine?,5,0.3821248412132263,ModelT-41-50.txt,13,ModelT-41-50.txt::chunk13,"e, fill the hub cap with grease and screw it in place on the hub.  Hi ‘ten should the , Booties be labricuted? ' Answer No. 93  Every three or four months the wheels should be removed, the old grease taken out and the hubs and bearings thoroughly cleansed with..."
Engine maintenance schedule / intervals,casual,How often should I service the engine?,1,0.3852250277996063,ModelT-41-50-ocr.pdf,12,ModelT-41-50-ocr.pdf::chunk12,"iridie, fill the hub cap with grease and screw it in place on the hub. Hi ‘ten should the , Booties be labricuted? ' Answer No. 93 Every three or four months the wheels should be removed, the old grease taken out and the hubs and bearings thoroughly cleansed w..."
Engine maintenance schedule / intervals,casual,How often should I service the engine?,2,0.3852250277996063,Ford-Model-T-Man-1919-ocr.pdf,236,Ford-Model-T-Man-1919-ocr.pdf::chunk236,"iridie, fill the hub cap with grease and screw it in place on the hub. Hi ‘ten should the , Booties be labricuted? ' Answer No. 93 Every three or four months the wheels should be removed, the old grease taken out and the hubs and bearings thoroughly cleansed w..."
Engine maintenance schedule / intervals,casual,How often should I service the engine?,3,0.3738337457180023,ModelT-01-10-ocr.pdf,49,ModelT-01-10-ocr.pdf::chunk49,ll the running speeds needed! for drdinery. Ce ee eee ee ee tine ce wae erties Daye eae File the cutk he Denali the: ‘ ng one   [Page 8] oo * - sit + advieable for owners to. ; inst aatisfactory service in the end. Never start out with your car until you aré- ...
Engine maintenance schedule / intervals,casual,How often should I service the engine?,4,0.3738337457180023,Ford-Model-T-Man-1919-ocr.pdf,49,Ford-Model-T-Man-1919-ocr.pdf::chunk49,ll the running speeds needed! for drdinery. Ce ee eee ee ee tine ce wae erties Daye eae File the cutk he Denali the: ‘ ng one   [Page 8] oo * - sit + advieable for owners to. ; inst aatisfactory service in the end. Never start out with your car until you aré- ...
Engine maintenance schedule / intervals,casual,How often should I service the engine?,5,0.35427045822143555,ModelT-01-10-ocr.pdf,50,ModelT-01-10-ocr.pdf::chunk50,". entire Ford orgenization is interested in keeping every individual Ford. car constant operation, at the lowest possible cost. We have known of much dé done to miany cars by unskilled repair men. What attention. Z does the Car need? Answer No. vA mer that a n..."
Engine maintenance schedule / intervals,keywords,engine maintenance intervals,1,0.36572226881980896,ModelT-41-50-ocr.pdf,12,ModelT-41-50-ocr.pdf::chunk12,"iridie, fill the hub cap with grease and screw it in place on the hub. Hi ‘ten should the , Booties be labricuted? ' Answer No. 93 Every three or four months the wheels should be removed, the old grease taken out and the hubs and bearings thoroughly cleansed w..."
Engine maintenance schedule / intervals,keywords,engine maintenance intervals,2,0.36572226881980896,Ford-Model-T-Man-1919-ocr.pdf,236,Ford-Model-T-Man-1919-ocr.pdf::chunk236,"iridie, fill the hub cap with grease and screw it in place on the hub. Hi ‘ten should the , Booties be labricuted? ' Answer No. 93 Every three or four months the wheels should be removed, the old grease taken out and the hubs and bearings thoroughly cleansed w..."
Engine maintenance schedule / intervals,keywords,engine maintenance intervals,3,0.3601914644241333,ModelT-01-10.txt,52,ModelT-01-10.txt::chunk52,ake a practice of taking care of every repair ' adjustment as soon as its necessity is discovered. This attention requires but  little time and may. avoid delay or possible accident on the road. We aim 19°. deli t f e r mechanical adjustment. Afterwards it is ...
Engine maintenance schedule / intervals,keywords,engine maintenance intervals,4,0.3601914644241333,Ford-Model-T-Man-1919.txt,52,Ford-Model-T-Man-1919.txt::chunk52,ake a practice of taking care of every repair ' adjustment as soon as its necessity is discovered. This attention requires but  little time and may. avoid delay or possible accident on the road. We aim 19°. deli t f e r mechanical adjustment. Afterwards it is ...
Engine maintenance schedule / intervals,keywords,engine maintenance intervals,5,0.34899449348449707,ModelT-01-10-ocr.pdf,49,ModelT-01-10-ocr.pdf::chunk49,ll the running speeds needed! for drdinery. Ce ee eee ee ee tine ce wae erties Daye eae File the cutk he Denali the: ‘ ng one   [Page 8] oo * - sit + advieable for owners to. ; inst aatisfactory service in the end. Never start out with your car until you aré- ...
Engine maintenance schedule / intervals,question_form,When do I need to check the engine?,1,0.4958305060863495,ModelT-01-10-ocr.pdf,15,ModelT-01-10-ocr.pdf::chunk15,ll be noticed in the engine. (See chapter on Ignition.) Where should these levers be.when ‘ . ‘ atarting the Engine? Answer No. 3 The spark lever should usually be put in about the third or fourth notch of the quadrant (the notched half-circle on which the lev...
Engine maintenance schedule / intervals,question_form,When do I need to check the engine?,2,0.4958305060863495,Ford-Model-T-Man-1919-ocr.pdf,15,Ford-Model-T-Man-1919-ocr.pdf::chunk15,ll be noticed in the engine. (See chapter on Ignition.) Where should these levers be.when ‘ . ‘ atarting the Engine? Answer No. 3 The spark lever should usually be put in about the third or fourth notch of the quadrant (the notched half-circle on which the lev...
Engine maintenance schedule / intervals,question_form,When do I need to check the engine?,3,0.47783470153808594,ModelT-01-10.txt,16,ModelT-01-10.txt::chunk16,e noticed in the engine. (See chapter on Ignition.) Where should these levers be.when ‘ . ‘  atarting the Engine? Answer No. 3  The spark lever should usually be put in about the third or fourth notch of the quadrant (the notched half-circle on which the lever...
Engine maintenance schedule / intervals,question_form,When do I need to check the engine?,4,0.47783470153808594,Ford-Model-T-Man-1919.txt,16,Ford-Model-T-Man-1919.txt::chunk16,e noticed in the engine. (See chapter on Ignition.) Where should these levers be.when ‘ . ‘  atarting the Engine? Answer No. 3  The spark lever should usually be put in about the third or fourth notch of the quadrant (the notched half-circle on which the lever...
Engine maintenance schedule / intervals,question_form,When do I need to check the engine?,5,0.4203226864337921,ModelT-51-60.txt,15,ModelT-51-60.txt::chunk15,"ng above 10 miles per hour. At an engine speed of 15 miles per hour or more the ammeter should show a reading of from 10 to 12. If the engine is running above 15 miles per hour and the ammeter does not show a proper reading, first inspect the terminal posts on..."
Engine maintenance schedule / intervals,indirect,Preventive maintenance requirements for the engine,1,0.44909656047821045,ModelT-01-10.txt,52,ModelT-01-10.txt::chunk52,ake a practice of taking care of every repair ' adjustment as soon as its necessity is discovered. This attention requires but  little time and may. avoid delay or possible accident on the road. We aim 19°. deli t f e r mechanical adjustment. Afterwards it is ...
Engine maintenance schedule / intervals,indirect,Preventive maintenance requirements for the engine,2,0.44909656047821045,Ford-Model-T-Man-1919.txt,52,Ford-Model-T-Man-1919.txt::chunk52,ake a practice of taking care of every repair ' adjustment as soon as its necessity is discovered. This attention requires but  little time and may. avoid delay or possible accident on the road. We aim 19°. deli t f e r mechanical adjustment. Afterwards it is ...
